State,Area_Key,Tenure,Primary_Type,Median_PSF,Transactions,Median_Price
Johor,JOHOR | KLUANG,Freehold,Terrace House,237.0,39,379000.0
Sarawak,SARAWAK | KUCHING,Leasehold,Terrace House,195.0,39,200000.0
Johor,JOHOR | SKUDAI,Freehold,Terrace House,340.0,39,595000.0
Johor,JOHOR | PERLING,Freehold,Terrace House,306.0,39,780000.0
Selangor,SELANGOR | PETALING JAYA,Freehold,Bungalow,464.0,39,948000.0
Selangor,SELANGOR | CHERAS,Leasehold,Flat,313.0,39,185000.0
Selangor,SELANGOR | CHERAS,Freehold,Condominium,162.0,39,250000.0
Johor,JOHOR | MASAI,Freehold,Service Residence,530.0,39,631950.0
Kuala Lumpur,KUALA LUMPUR | CHERAS,Leasehold,Apartment,433.0,39,280000.0
Melaka,MELAKA | BUKIT KATIL,Leasehold,Semi D,338.0,38,488000.0
Kuala Lumpur,KUALA LUMPUR | JALAN KLANG LAMA (OLD KLANG ROAD),Mixed,Terrace House,445.0,38,912500.0
Perak,PERAK | IPOH,Freehold,Terrace House,238.0,38,335000.0
Kedah,KEDAH | KULIM,Freehold,Terrace House,330.0,38,462000.0
Selangor,SELANGOR | SEMENYIH,Freehold,Terrace House,391.0,38,547770.0
Perak,PERAK | IPOH,Mixed,Terrace House,298.0,38,458880.0
Johor,JOHOR | PASIR GUDANG,Freehold,Terrace House,361.0,38,340000.0
Perak,PERAK | IPOH,Freehold,Cluster House,262.0,38,688000.0
